originalText,label_class,label
"我同学患有癫痫,可是平时基本上不会发作，总是每个月月经前期无精神，无食欲，口吐白沫等,一直在服用药物,但是又担心有副作用,治愈不好.有什么方法可以治疗啊？请问治疗癫痫最好的医院有哪些治疗方法",其他,2
感冒引起的咳嗽有痰多年的肺气肿身体虚弱经常感冒,其他,2
不知道复方扶芳藤胶囊这个药物适合患有心脏病的老年人吃不,适用症,14
右肾结石，右肾轻度积水,临床表现(病症表现),0
你好，我想咨询一下，为什么我的强迫症跟洁癖越来越严重，不喜欢别人碰我的东西，看到东西放乱就特别烦躁，在那放的东西用过就要放回原处，还不能见有一点脏。,其他,2
怀孕时期得了抑郁症可以使用盐酸文拉法辛缓释片治疗吗,治疗方法,8
昆明最好的癫痫病院医？昨天回家的时候看见隔壁邻居的孩子突然倒地在抽搐，都把我给吓坏了，过了几分钟孩子才恢复正常，他自己都不知道发生了什么，邻居说孩子是癫痫病发了，癫痫患者平常要注意什么呢。,预防,15
脑疝，昏迷18天还有可能醒么,治愈率,7
吃感冒药以后吃桂圆行吗,病症禁忌,11
屁眼长痔疮，吃什么药怎么解决,治疗方法,8
对甲醛经常过敏，头痛，流鼻涕，嗓子氧，四肢无力？,临床表现(病症表现),0
医生，你好，排尿困难，是什么情况，可以用什么呢,其他,2
2个月宝宝爱手舞足蹈正常吗？有点担心宝宝又不是有多动症，求科普。,临床表现(病症表现),0
我有心脏病冠心病不知道能医得好,治愈率,7
她有两年多病吏，现在经长左后背疼，请问是不是肺结核引起的？,病因,10
髓母细胞瘤怎么办,治疗方法,8
癫痫伤害很大，得了癫痫不仅会给癫痫病病人的健康造成巨大的伤害，而且对癫痫病人正常的生活和工作都造成了特别大的影响。那么，癫痫治得好吗?,治愈率,7
"宝宝躺着屁股了,正好肛门附近,,总是烂怎么办",治疗方法,8
请问怎样改掉晚睡的坏毛病啊？最近因为要和老公准备生孩子了，但是早睡都睡不着呢！,方法,6
"谷维素的话是不是可以治疗神经性紊乱导致的早博,但是不确定早博是否是这个原因导致的?",病因,10
您好，我想请问一下，阴茎短小有什么药？,其他,2
皮肤血管瘤怎么治,治疗方法,8
最近几天我总感觉嗓子里有东西似的，咳嗽也咳不出什么东西。呼吸困难，要大口大口地呼吸，胸闷！气短！这是怎么回事？,病因,10
小便时疼痛带血，，，怎么回事,病因,10
如何预防脑疝,预防,15
这一段时间身体发热，没力气，本来以为是感冒，但是最近病情加重了，伴随有心绞痛。听人说有可能是急性心肌梗塞，想知道急性心肌梗塞的症状是什么？,临床表现(病症表现),0
请问，女性尿频尿急属于严重疾病吗？用什么药好？,其他,2
请问有没有维Ｄ2果糖酸钙注身液有没有途径可以找到？,其他,2
您好，80岁了，只是我不清楚这二药合并行吗?有什么建议吗,其他,2
大肠和直肠有哪些区别?,其他,2
外痔自己会好吗,治疗方法,8
直肠癌是什么？,定义,4
请问脑性瘫痪综合征症状表现是什么,临床表现(病症表现),0
肛肠镜检查一般多少钱？肛门觉得粘湿，有少量粪便溢出，大便无血正常，是什么原因造成的？跟痔疮有没有关系？,其他,2
脑血管瘤是怎么形成的,治疗方法,8
卵泡可能不破就排出吗？为什么还是腹痛？,其他,2
肛门疼，越来越严重，便血，得了痔疮，出院后要注意哪些问题？,其他,2
我想请问一下，一个月前女子给我打飞机会引起尿路感染吗?,其他,2
打篮球时脚崴了，过了7个小时了，能用云南白药吗,适用症,14
请问直肠癌三年，最近大便次数增加大便成块状是何原因,病因,10
老年人正常压力脑积水有什么饮食禁忌吗？,病症禁忌,11
孩子吃多了，有点消化不良，用点什么能好？,治疗方法,8
便血，检查出事高分化腺癌早期，已做了根治术，医生建议做化疗，是否可以不做？,治疗方法,8
骶神经损伤可以用神经妥乐平片这个药么？,适用症,14
生完宝宝后现在感觉小肚子疼【恶..,其他,2
宝宝得了轮状病毒性肠炎！,治疗方法,8
小儿颅内出血的是什么原因啊,病因,10
我肚子肉肉比较多，想减掉，做仰卧起坐大概什么时候做比较好，做多少个,其他,2
蝉蜕能降血压吗？血压高的人吃了有什么好处，有什么坏处？,其他,2
？,其他,2
便血，肛门处有小肉疙瘩，硬的，是痔疮，得了痔疮不手术不开刀如何治疗？,治疗方法,8
心梗使用硝酸甘油三次每五分钟一次，治疗能康复吗？饮食需要怎样啊？,其他,2
昨晚洗澡时发现，我的手臂皮下长了个硬疙瘩，我想问一下，手臂皮下长了个硬疙瘩该怎么办？,临床表现(病症表现),0
肛门口翻出来，里面有硬块。是什么？怎么回事？,其他,2
奶奶经常说关节局部疼痛，不知道用白芍总苷胶囊可不可以治疗？,适用症,14
新生儿化脓性脑膜炎会传染吗,传染性,1
慢阻肺的临床表现有哪些？,临床表现(病症表现),0
脑梗塞吃什么药,适用症,14
我是甘油三酯高788底在100高压150请问医生我该怎样自疗。（,临床表现(病症表现),0
可以用什么来治疗心前区疼痛、病毒性心肌炎，都有些什么禁忌呢？,其他,2
我是孕妇，前段时间感冒了，一直也不好。嗓子也不好，怎么办？,治疗方法,8
我更年期综合症服，而且特别容易感冒，经常。多汗，时冷时热，一感冒就出汗得厉害，请问用知柏地黄丸可以吗？,适用症,14
请问医生，神经衰弱大夫给我开的解郁安神片效果不好我还是心情不好发火，在加上我爱人是活不干，我每天忍受着症状的折磨还得干家务，麻烦医生告诉我除了解郁安神片以外能让心不烦躁的中药，现在我真的很痛苦，谢谢！,治疗方法,8
血管瘤疤痒怎么办,治疗方法,8
复方丹参片和丹参软胶囊药用一样吗？效果也是一样的吗？,其他,2
擤鼻涕会不会造成软组织挫伤？最近感冒，擤鼻涕的时候姿势不对，感觉鼻头下方有点不舒服，是不是软组织挫伤呢,其他,2
"孩子出生是面部就长的红点，检查出血管瘤，直径8厘米现在。你那里能治疗吗,出生时内蒙古婴儿面部就有血管瘤可以治好吗？",治愈率,7
宝宝肛门是闭合，肛门下方有一个圆珠笔芯管大小的圆滑的孔是排大便的，是先天性肛门闭锁直肠会阴瘘吗？,病因,10
肛管炎和直肠炎吃什么药物？老是想大便，但是拉不出来。,治疗方法,8
本人男，24岁，今年三月份到现在一直腰痛，时重时轻，症状主要发生于夜里，特别是睡觉后，白天睡觉后也会疼痛，不过痛感不明显，。刚开始是在尾椎骨以上10到20公分出有痛感，后半夜痛感明显，最近一个月疼痛地方转移，主要是左边肋部下方五公分离脊柱大概一手掌宽度，痛感明显，想咨询下，可能是什么症状引起的。有些尿频（睡觉躺床上），其他都还好。,其他,2
我总是反复洗衣服洗了没穿只要在外面玩了回来身上从高梁叶上弄上了白粉就怀疑人家打药来就又洗澡又洗了一边衣服怎么治我怕农药只要放过药地方我就不敢再放任何东西这是什么病,定义,4
阜阳癫痫康复治疗中心？？我邻居家小孩突然就倒在地上了，吓我一跳，这是癫痫么，癫痫的早期症状都有哪些啊？治疗的费用是多少？,其他,2
先天性肌病的病因是什么,病因,10
"你好,为什么治疗心悸多梦,要用安宫降压丸?",适用症,14
如何才能降低患缺血性中风或短暂性脑缺血发作的危险,预防,15
心烦，心慌恐惧焦虑手脚震颤，心悸，冒冷汗,临床表现(病症表现),0
你好！我今年18岁！小便时尿道口有刺痛的感觉，尿完后还轻微疼一小会儿，请问是怎么回事？吃什么药可以治疗？,其他,2
尿道口有白色分泌物是怎么回事？,临床表现(病症表现),0
痔疮手术后10天了，混合痣，术后有小肉出来，不成团，说是血栓，打麻药摘除了血栓，第二天出院了，现在又有一点肉，旁边有小孔，严重吗？还要每天上药栓吗？,其他,2
脑梗塞怎么治疗,方法,6
有轻微强迫症怎么办,治疗方法,8
我这段时间咳嗽很费的，咳嗽一个多月了，有时候还伴有呼吸困难的症状，是不是间接性肺炎，这种病还有什么其他的表现？间质性肺炎的症状表现？,其他,2
伯母患有痔疮。痔疮是怎么引起的？,病因,10
你好，我的腹部出现白癜风了，不久前才发现的，皮肤有的地方发白，而且掉皮，吃了很多药了，到现在也没感觉好起来。,临床表现(病症表现),0
解脲支原体和解脲脲原体一样吗？？,其他,2
脑性瘫痪综合征有哪些并发症吗,相关病症,12
肛门痛是结肠癌的症状还是痔疮？结肠癌发病部位是哪里呀,其他,2
我想知道施维雅（万爽力）盐酸曲美他嗪用多久才会有效果出来的呢？,其他,2
您好！患者脑积水术后偏瘫一年，现在走路无力，足内翻，手痉挛且大拇指弯曲，请问服用什么药可以加强脚走路力度？,适用症,14
叔叔屁股疼痛，大便带血丝，怎么治疗？用什么药物好？,其他,2
有病情的出现也是要了解发作带来的影响，这我们大家伙更是要清楚的了解，特别是患上了癫痫会给病人和病人的生活都带来巨大的不便，注意了这些后更是要明白最为多见的发作类型，那么，癫痫病人的发病类型是有些什么?,临床表现(病症表现),0
直肠内黏膜脱落有什么药物能治疗？,治疗方法,8
头颅CT显示：多发颅内出血，蛛网膜下腔出血，脑水肿，中线移位。如何治疗,治疗方法,8
失眠心慌吃人参滴丸行吗，不知道这是怎么回事，求医生指导疑惑？,治疗方法,8
我是纵膈肿瘤，最近在做化疗，听人说化疗期间吃平消片可以更好的改善病情,适用症,14
造成脑卒中的病因有什么？,病因,10
先天性心脏病宝宝感冒了能打吊针吗？,治疗方法,8
偶尔便秘，大便困难，疼痛，微出血，肛门肿痛，是混合痔，三期，能做微创手术吗？多少钱？深圳医保报销多少？,其他,2
我心率不齐属室性早博频繁发生，请问心宝丸可以吗？我不是很清楚，想了解一下。,适用症,14
肚子左边肋骨下有疼痛，尤其是晚..,其他,2
前段时间常觉得胸闷，呼吸困难，去医院检查后做了心电图之后，医生说得了房颤，不知道做心电图就可以确诊了吗，所以想问问做心电图能查出房颤吗？,临床表现(病症表现),0
都五六年了，一直是血压低出现头晕，曾经有查过说是大脑供血不足，但是又被另一位大夫否定，真不知自己是哪里出了问题，血压60/90出现头晕，最严重就是早晨起来还会恶心。,其他,2
成都治疗便秘哪家专科医院好天热便秘怎么办？,治疗方法,8
怎么会引起尿路感染，能吃点什么药好呢？谁能帮我指点一下？,治疗方法,8
出血性脑梗死易发人群有哪些,其他,2
"脸上有白斑，刚开始没在意，后来越来越大，就去医院检查,医生说是白癜风。",临床表现(病症表现),0
痔疮吃什么帮助治愈？,治疗方法,8
这两天在家里拖地，扫地，反正稍微干点活就觉得喘得慌，我有点担心就去做了检查，医生说我是得了房颤，我不太懂，所以想问问，房颤该怎样治疗？,治疗方法,8
尿急，尿频，尿痛，尿血,临床表现(病症表现),0
防止患上痔疮的保健方法有哪些？,预防,15
请问丘脑胶质瘤症状是什么,临床表现(病症表现),0
甘油三脂太高，我根本不知到自己接下来要干些什么了。,治疗方法,8
我很身体健康生了二个孩子最近觉得一生气胸有点疼但一会又好了胸部好像有像管子一样的小块硬,其他,2
最近感觉胸很闷，头也晕晕的，今天突然眼前一黑，昏了过去，被送去医院检查后，得知自己患上了不稳定性心绞痛，我想问问，关于不稳定性心绞痛应该知道哪些东西？,治疗方法,8
请问依替膦酸二钠片效果怎么样呢？多长时间能起作用呢？,其他,2
小腿因血管瘤而肿大怎么样能消肿,治疗方法,8
痔疮手术后吃什么,其他,2
排便肛门痛，没有便血，排便很细，手摸疼痛肛门周围更疼，说外痔带有水肿，服用痔疮片（广西玉兰制药），消炎药，肚脐贴用肛泰，症状未减，撕裂刺痛，是否继续用上述药物？属于哪种病症？,其他,2
现在感觉左边胸部时不时有疼痛的感觉，长的是血管瘤，内蒙古婴儿长了海绵状的血管瘤的治疗方法有吗？,治疗方法,8
您好，我患有糖尿病已经有8、9年了，我可以服用甲磺酸酚妥拉明胶囊治疗男性脖起功能障碍吗？,适用症,14
思利舒利培酮片1mg40片这个对比维思通有什么不同,其他,2
脑发育不全性脑积水会影响大脑正常工作吗,临床表现(病症表现),0
复方穿心莲片，糖尿病可以服用吗？我是糖尿病患者，想服用这药。,适用症,14
怎么查风湿性心脏病,临床表现(病症表现),0
请问山雄万通筋骨片效果怎么样呢？多长时间能起作用呢？,其他,2
偶尔咳嗽持续了一个月,临床表现(病症表现),0
防止患上痔疮的保健方法有哪些？,其他,2
糖尿病皮肤痒，吃什么药，才能管用呢，痒得特别难受,治疗方法,8
不太清楚支气管扩张咯血治疗方法。刚开始大概是感冒引起的，咳嗽十天咯血了，到医院检查说我是支气管扩张，这次咯血比上次住院时间还长，到现在还咳嗽，像这样的病，要怎么治疗？,方法,6
精神分裂还可以恢复到病前状态吗我大脑空白精神衰退强制思维,治愈率,7
手淫过度导致阴茎短小怎么办,治疗方法,8
这一段时间不知是什么原因，检查出患有生殖器疱疹的毛病，也不是很了解这种病，所以感觉特别的害怕，还担心会传染给家人，所以想了解一下生殖器疱疹的治疗方法?,治疗方法,8
做微针用碘伏消毒还是酒精脸用什么消毒微针用什么消毒,适用症,14
最近好腰痛，那个奇正什么贴对那种腰间盘突出有效吗？,适用症,14
你好，医生请问一下，参芪降糖胶囊可以治疗2型糖尿病吗,适用症,14
您好，请问女性尿不尽吃什么药,治疗方法,8
月经40多天来一次，想怀孕吃定坤丹管用不,其他,2
"子宫切除后可以吃安怡奶粉吗？主要是左脚酸的抬不起来,晚上睡不着觉。会不会是缺钙引起的。",适用症,14
上海哪家医院治疗痔疮好？吃什么好？可以吃油炸的东西吗？肉类可以吃吗？是因为上火吗？油腻的食品可以吃吗？如何根治？,其他,2
维固力硫酸氨基葡萄糖胶囊对于治疗继发性骨关节炎效果如何？,适用症,14
不动手术如何治疗内痔？,治疗方法,8
今天早上小便的时候尿道口刺痛，而且小便很少，但是老是感觉要小便,临床表现(病症表现),0
你好，我我想问一下，我家孩子两岁三个月，现在有些呕吐，不腹泻不发烧，验血没炎症，吃这个四磨汤口服液可以么,适用症,14
怎么检查有强迫症,其他,2
我母亲发病十多天，每次弯腰都不敢起来，小腹左下侧痛，坐久了也痛，诊断是直肠炎，今天打了点滴唑氧和奥硝唑，后面还要怎么治疗？,治疗方法,8
冰毒导致的抑郁情绪，这跟平常我们说的抑郁症一样吗？,定义,4
孩子的手指肚上有红斑，越长越大，体检查出有血管瘤，要紧吗？内蒙古婴儿手指肚上血管瘤能治好不？,治愈率,7
肛门口，阴囊附近，就是大腿根部，两腿之间，长了很多小肉牙，有一个月时间了,其他,2
痔疮到省立医院挂什么科？,所属科室,5
什么动物有强迫症,其他,2
一年有一两次血压低，血压低时会身体虚弱，精神疲乏，头晕。平时夜晚多梦能服用这种龟鹿补肾片吗？,适用症,14
痔疮手术费用是多少？痔疮手术会痛吗？大概多久能愈合？,其他,2
你好，我想大概问一下啊盐酸曲唑酮片不知道你们这里还出售不？因为我在其他地方找不到，失望,其他,2
我小腹这里，有点痛，受凉了就有点拉肚和疼痛，吃肠胃宁片管用吗？我同时还有血压高，血糖高的人能吃肠胃宁片啊？,其他,2
阜阳小儿癫痫医院？？家里有癫痫患者，近期想去医院做手术，想知道癫痫手术治疗收费标准。癫痫手术治疗费用是多少？,其他,2
性行为后排尿灼痛，龟头do分泌物显？我最近有多次无措施的性行为，没有及时清洗，过后三天左右觉得包皮上的垢明显多了很多，这两天性行为后排尿灼痛，龟头的分泌物也很多，这几天也是上火了，这是什么病啊？。性行为后排尿灼痛，龟头分泌物多，什么病啊？,其他,2
家里亲戚得了白癜风，想要了解一下补骨脂治疗白癜风需要多少钱,费用,13
膑骨骨折手术后一个半月.头感觉有点晕.双脚冷出汗.血压高压126.低压69.这样血压正常吗？,治疗方法,8
孩子的背部有一部分突出肿大，已经有20天了，以后一直是血管瘤就没太在意，后来去我们那的医院检查说的血管瘤，内蒙古婴儿背上的血管瘤可以治好吗？,治愈率,7
你好？胶质瘤会引起全身抽搐吗？,临床表现(病症表现),0
您好，我好像是生殖器疱疹，请问怎么办？今天我发现我的那里表面又有几个小水泡，又疼又痒，热热的，好像有炎症，请问是怎么了？,临床表现(病症表现),0
头疼吃二十五味珍珠丸好使吗？,治疗方法,8
直肠炎饮食方面有什么需要注意的吗？用不用治疗？要紧吗？,其他,2
心脏毛病现在吃的是达比加群酯胶囊，还有别的医保可以报销的药吗？,其他,2
你好医生，母亲刚才发现头上在离耳朵有一个食指的距离，有一個包，摸着会疼，母亲也是有脑梗塞的，请问是怎么回事呢,病因,10
有的时候感觉胸口赌的晃，请问有什么办法可以治疗？这是什么病？,其他,2
我一个同事也是得了这个病一到天冷就难受，看了好多地方了都不管用，过敏性哮喘要注意些哪些问题？,病症禁忌,11
芒硝与别的中药合用，熏蒸痔疮剂量有多有少，为什么？痔疮出来回不去，用过马银龙药膏，肛泰，效果不好，现在熏蒸不理想，怎么缓解？,其他,2
肺性脑病有什么饮食禁忌？,病症禁忌,11
热性惊厥是什么病,定义,4
小腹疼痛，一坐下就感觉有东西从肛门上往上搥，站着还好点,其他,2
你好医生，请问一下，稳心颗粒有没有副作用？室性早搏是不是长期服用？,其他,2
什么导致内痔出血？,病因,10
有什么值得注意的地方吗？,其他,2
你好，强骨胶囊可以用于治疗肾阳虚所致的骨痿吗？,适用症,14
手术治结肠息肉可以根治吗？复发的几率高吗,其他,2
乳房切除后不会患乳腺癌了吗,定义,4
你好，我妹癫痫很严重，全家都急的不行。想知道治疗癫痫病最好的治疗方法是什么。我表妹她有癫痫病好几年了，姑她们很着急。让我问问哪有最好的治疗癫痫病的方法。请问癫痫应该怎么治疗？,治疗方法,8
肛门胀不舒服想上厕所,临床表现(病症表现),0
你好；请问爱00麝香壮骨膏的主治症状及成份分别有那些呢？,其他,2
头痛发热386要吃散利痛吗,适用症,14
85岁的老人得肾结石应如何治疗,治疗方法,8
九个月宝宝拉肚子蛋花样的还吐怎么办,治疗方法,8
经常久坐，最近排便困难，是不是犯痔疮了？久坐会导致痔疮吗？原因有哪些？,其他,2
皮肤发黄，小便发黄，巩膜发黄，手心发热,其他,2
病变？是不是需要进一步治疗？,其他,2
肺部钱骨突出伴走疼痛,临床表现(病症表现),0
慢性肛管直肠炎有什么症状？用什么药物有效治疗？,其他,2
室性早搏用硫酸奎尼丁片是明智的选择吗，适合用吗,适用症,14
怀孕的时候得风疹病毒，现在打算要二胎，想做耳聋基因检测,病因,10
"眼晴红又痛反反复复应该怎么办，可以选用什么药呢,希望医生为我解答问题",治疗方法,8
你好，我心脏一阵一阵酥酥的感觉，请问是啥情况？,病因,10
丘脑胶质瘤有什么饮食禁忌？,病症禁忌,11
如今患上急性心包炎这种疾病的朋友越来越多，这种的病症很痛苦，并且治疗起来很复杂，很多朋友在患病之后，并不是很了解自己的疾病，请问急性心包炎属于什么类型的病？,相关病症,12
请问医生肾结石吃什么药好的快,治疗方法,8
你好，我想问下，龙血竭胶囊能不能用于心脏病，气管炎患者能吃吗？,适用症,14
我的宝宝前一阵子得了急性细支气管炎，医生给开的再奇阿奇霉素颗粒，用药后有好转，但停药几天了，仍然有痰和咳嗽，我想买阿奇霉素颗粒可以吗？,治疗方法,8
颅内蛛网膜囊肿需要治疗吗？,治疗方法,8
直肠粘膜内脱是因为什么原因？,病因,10
山雄万通筋骨片的使用有效期是多长时间呢？,其他,2
阜阳治疗癫痫专科医院？？我邻居家小孩突然就倒在地上了，吓我一跳，这是癫痫么，癫痫的早期症状都有哪些啊？治疗的费用是多少？,其他,2
